id,nombre,apellido,estado_civil,dni,nacionalidad,fecha_nacimiento,direccion,codigo_postal,provincia,telefono,email,es_moroso,profesion,salario,numero_cuenta,tipo_cuenta,saldo,antiguedad_cliente,genero
42687,Juliana,Quirós,Divorciada,78594451R,Alemana,1995-05-02,"Pasadizo de Aroa Pina 7 Piso 4 , Huesca, 22077",44864,Valencia,725294263,cabreraeliana@example.org,False,Instalador y reparador de líneas eléctricas,"2083,5",ES5093798146050074617849,corriente,"4700,05",2018-02-05,Femenino
42688,Mateo,Exposito,Casado,38220321W,Bruneana,1972-04-06,"Cuesta de Salomón Bello 490, Málaga, 19590",40733,Melilla,787896054,marquezmaria@example.org,False,Trabajador de cuidados personales a domicilio,"3600,41",ES0394877907304876651909,corriente,"2476,2",2020-04-23,Masculino
42689,Moreno,Estrada,Casado,13640109M,Bruneana,1965-11-04,"Plaza de Ulises Cabrera 283, Valladolid, 37216",07553,Ourense,787823855,teodorapascual@example.com,False,Peón de carga,"5469,09",ES7421668535190624339019,corriente,"98021,53",2020-11-24,Masculino
42690,Gabino,Vizcaíno,Casado,63697455J,Brasileña,1954-03-29,"Cañada Dolores Checa 92, Madrid, 33370",18057,Córdoba,617850078,aguilerafelix@example.org,False,Carnicero,"1693,11",ES6280472001795966642771,corriente,"43445,14",2021-12-07,Masculino
42691,Paola,Tudela,Divorciada,89566493P,Bruneana,1951-10-22,"Pasadizo de Eduardo Arévalo 9, Guipúzcoa, 50988",02827,Guipúzcoa,616964045,benitaurrutia@example.com,False,Desarrollador Web y multimedia,"4002,05",ES7096418649674242169011,corriente,"29935,12",2023-08-24,Femenino
42692,Selena,Arjona,Viuda,83664308Z,Peruana,1954-12-05,"Calle Rosa María Nebot 6 Piso 3 , Soria, 03793",10377,Salamanca,700865626,sabasboada@example.net,False,Operador de máquinas de procesamiento de texto y mecanógrafos,"6635,78",ES9536291628771528683733,corriente,"74617,48",2023-11-28,Femenino
42693,Norberto,Raya,Casado,84166401V,Rumana,1993-05-28,"Callejón de Nélida Roselló 909 Piso 5 , Málaga, 10999",15538,Ceuta,661448374,villalobosclotilde@example.org,False,Albañil,"2717,55",ES4545088316040294354835,corriente,"50153,73",2020-03-28,Masculino
42694,Dafne,Rivero,Viuda,85224588C,Argelina,2004-05-07,"Camino de Gaspar Nicolau 98 Apt. 71 , Almería, 06764",44099,Pontevedra,673325097,mgimeno@example.net,False,Inspector de policía,"5460,93",ES6209557253014985462864,corriente,"67923,27",2023-11-01,Femenino
42695,Evita,Amaya,Soltera,22828238W,Italiana,2006-01-19,"Rambla de Francisco Javier Contreras 94 Puerta 7 , Murcia, 27539",26406,Navarra,663281368,alfredo78@example.org,False,Oficinista general,"5617,84",ES9106542293317398916323,corriente,"90289,51",2022-09-10,Femenino
42696,Carmina,Cañas,Casada,69814333H,Bosnia,1977-11-25,"C. Venceslás Camacho 86 Puerta 0 , Navarra, 19061",42687,Asturias,662937444,leandrocuesta@example.org,False,Operador de máquinas para elaborar alimentos y productos afines,"2327,76",ES0259702128132457187745,corriente,"17913,65",2025-02-22,Femenino
42697,Jose Ignacio,Pizarro,Casado,88734181C,Belga,1953-08-26,"Glorieta de Francisco Javier Calleja 83, Cantabria, 13608",01634,Melilla,782254325,felixcarvajal@example.org,False,Director de industrias manufactureras,"5492,79",ES1458166257349104948716,corriente,"31826,23",2023-10-24,Masculino
42698,Lorenzo,Batalla,Soltero,85218576B,Jamaicana,1963-03-11,"Callejón de Ofelia Parejo 19 Puerta 1 , Salamanca, 45100",14351,Ciudad,637610650,ligiarevilla@example.net,False,Técnico en documentación sanitaria,"3036,68",ES1762602172390844896844,corriente,"66088,76",2020-02-05,Masculino
42699,Amarilis,Márquez,Viuda,63830247A,Libia,1953-01-19,"Plaza de Quique Barreda 11, Soria, 35511",44197,Ceuta,702442352,anacletobilbao@example.org,False,Astrónomos,"5457,28",ES1692635405135825859465,corriente,"42412,49",2020-09-12,Femenino
42700,Santos,Cerro,Viudo,95962285Y,Eslovaca,1976-09-28,"Pasaje Francisca Esteban 3 Apt. 98 , Alicante, 32611",03308,Madrid,659692198,ceferinobaro@example.org,False,Chef,"3867,2",ES1953927545084523441753,corriente,"40141,22",2019-02-04,Masculino
42701,Íngrid,Reina,Soltera,57622311C,Chipriota,2001-11-25,"Urbanización Agustina Gomis 69 Puerta 6 , Girona, 35839",41968,Palencia,786448779,salome54@example.org,False,Laminador de vidrio,"5102,99",ES4690097830876386619876,corriente,"64603,72",2018-07-18,Femenino
42702,Elodia,Cerdán,Casada,61963868M,Iraquí,1993-10-17,"Urbanización de Eutimio Posada 43 Apt. 55 , Palencia, 15050",34056,Baleares,710292514,villaaurea@example.org,False,Operador de instalaciones de refinación de petróleo y gas natural,"4359,61",ES4190194020762944991728,corriente,"59325,25",2019-11-07,Femenino
42703,Corona,Bayona,Viuda,96969495T,Etíope,1958-12-11,"Callejón Adriana Escudero 10, Segovia, 27596",36239,Lleida,788638978,querolprimitivo@example.com,False,Profesional de medicina alternativa,"2881,95",ES1418452823640496430859,corriente,"81134,53",2022-09-12,Femenino
42704,Virginia,Carrasco,Casada,43469436B,Burkinesa,1948-09-03,"Paseo de Sigfrido Gómez 208 Apt. 29 , Córdoba, 49836",46590,Soria,631937182,cruz27@example.net,False,Ensamblador de maquinaria mecánica,"3750,92",ES9301411324065178133229,corriente,"7825,13",2019-06-03,Femenino
42705,Isaura,Chico,Casada,50722472C,Francesa,1959-01-23,"Glorieta Miriam Manuel 3, La Rioja, 04843",03486,Valladolid,619951012,fortunato79@example.org,False,Guardia de protección,"3785,25",ES4849794850611656146347,corriente,"10859,17",2025-01-28,Femenino
42706,Tatiana,Guillen,Casada,87626469B,Boliviana,1995-05-20,"C. de Ariel Cuesta 71 Apt. 09 , Huelva, 37763",12469,Córdoba,652888692,salinascristian@example.com,False,Vendedor ambulantes de productos comestibles,"3729,08",ES1481209858273843591496,corriente,"60262,22",2022-03-13,Femenino
42707,Gerónimo,Jaume,Divorciado,46683770A,Libanesa,2006-01-02,"Rambla de Julieta Aguado 399, Burgos, 46577",20762,Almería,769721202,fperea@example.net,False,Mandader,"1436,68",ES4868288305345830865409,corriente,"85692,9",2018-03-28,Masculino
42708,Gervasio,Peñalver,Viudo,63067181P,Marroquí,1968-02-26,"Cuesta Pablo Solera 44 Apt. 02 , León, 13510",11182,Albacete,748627926,rlosa@example.org,False,Soplador de vidrio,"1777,56",ES4645737703517300990908,corriente,"78932,12",2024-08-07,Masculino
42709,Fabián,Aliaga,Casado,10470638A,Irlandesa,1981-10-12,"Callejón de Pascuala Mendez 16, León, 15738",24790,Melilla,618469995,viviana08@example.net,False,Cocinero,"7823,89",ES9748680035724323756012,corriente,"83842,88",2023-05-25,Masculino
42710,Arcelia,Gálvez,Soltera,88502934S,Antiguana,1987-01-24,"C. Balduino Raya 49, Córdoba, 33054",42220,Guipúzcoa,668678266,maria-belen43@example.net,False,Agente inmobiliario,"3470,33",ES5820230769398979011164,corriente,"99825,57",2023-09-08,Femenino
42711,Perla,Lozano,Casada,10055523S,Galesa,1986-12-27,"Cañada Perlita Cid 423 Puerta 9 , Badajoz, 45470",51382,Melilla,729672569,arenasjulia@example.org,False,Conductor de tranvía,"1645,4",ES5117562559006448571730,corriente,"23863,2",2021-12-24,Femenino
42712,Félix,Nevado,Viudo,95766354N,Beninesa,1991-05-04,"Cañada de Paca Lladó 81, Zaragoza, 20122",09484,Lleida,747478041,silviaaller@example.org,False,Asesor de inversiones,"7751,59",ES6955446014890067505193,corriente,61273,2024-05-11,Masculino
42713,Gracia,Baena,Viuda,57959428A,Bielorrusa,1950-01-02,"Rambla de Teodora Peral 33 Puerta 2 , La Rioja, 44485",28769,Las Palmas,748151639,vallprimitiva@example.com,False,Clasificador de productos,"4126,33",ES7541216906168463265645,corriente,"86147,56",2019-05-04,Femenino
42714,Luciana,Rivera,Soltera,41143374P,Saudí,1989-04-10,"Acceso Ani Sosa 54, Guadalajara, 31770",01186,Pontevedra,621210735,jovita63@example.net,False,Conserje,"6738,03",ES1029007032495495401105,corriente,"16623,01",2018-07-21,Femenino
42715,Josefa,Pavón,Casada,53018941P,Barbadense,1954-02-12,"Vial Fidel Céspedes 5, Zaragoza, 26394",45530,Castellón,713688933,baviles@example.org,False,Instructor de autoescuela,"2680,89",ES6639368315250965363397,corriente,"36422,19",2019-12-14,Femenino
42716,Santos,Barral,Divorciado,68729259S,Moldava,1951-06-08,"Via de Sarita Cardona 8 Puerta 6 , Lugo, 17619",05500,Valencia,782845219,ccarretero@example.com,False,Agente inmobiliario,"7833,61",ES4256340669065849560406,corriente,"18279,52",2021-08-01,Masculino
42717,Régulo,Estevez,Viudo,11502784R,Haitiana,1992-05-29,"Glorieta de Dorotea Sola 68 Piso 2 , Burgos, 09940",45500,Cáceres,699047129,tbarrena@example.net,False,Zoólogo,"4488,43",ES3177325114810303425948,corriente,"17863,52",2024-04-18,Masculino
42718,Primitiva,Soria,Viuda,86957668G,Noruega,1986-01-23,"Cañada Aitor Bonilla 19 Puerta 1 , Córdoba, 22648",42286,Melilla,734688517,cazorlamaria-fernanda@example.org,False,Abogado,"5008,28",ES7252544993109676344455,corriente,"46935,03",2021-12-09,Femenino
42719,Marina,Porcel,Divorciada,89582412B,Brasileña,1986-04-27,"Ronda de Arsenio Blanch 604, Burgos, 22908",14279,Sevilla,609963847,tgaya@example.org,False,Trabajador ambulante de servicios,"6672,4",ES9475005621151672144594,corriente,"50871,99",2019-01-20,Femenino
42720,Luciana,Valentín,Soltera,42908954Q,Surcoreana,1984-06-01,"Callejón de Serafina Girón 690, Lugo, 02396",20392,Granada,746647715,trinipineda@example.org,False,Mecánico-montador de instalaciones de refrigeración y climatización,"3248,41",ES6690629021350902725734,corriente,"45034,31",2019-03-13,Femenino
42721,Fabián,Arcos,Casado,29893635Y,Australiana,2006-06-18,"Via de Luis Ángel Iborra 58 Apt. 67 , Cuenca, 01298",34747,Almería,761691786,esparzaruben@example.net,False,Técnico en redes y sistemas de computadores,"6408,79",ES5693992859488978712179,corriente,"90827,03",2021-06-03,Masculino
42722,Pepita,Baquero,Divorciada,76232920H,Canadiense,1981-04-15,"C. de Aurelio Carrasco 89 Puerta 7 , Badajoz, 35068",37601,Cádiz,664517776,lrodriguez@example.com,False,Secretario administrativo,"2865,79",ES8544388195514012059678,corriente,"90068,87",2022-09-24,Femenino
42723,René,Valentín,Casado,64795592S,Surcoreana,1991-06-10,"Urbanización Édgar Pi 12, León, 16537",31576,Sevilla,753981235,vilarfabio@example.net,False,Agente de servicios de seguridad social,"6793,36",ES3313577739545932527659,corriente,"58222,82",2022-03-19,Masculino
42724,Javier,Landa,Viudo,54065584J,Portuguesa,1966-06-18,"Cuesta de Isidoro Vilaplana 65 Apt. 64 , Girona, 40324",16974,Murcia,759919172,morenocerro@example.org,False,Médico general,"3956,52",ES3951351716120904855113,corriente,"8848,93",2020-12-20,Masculino
42725,Fortunata,Villar,Soltera,35745797W,Croata,1985-06-02,"Ronda Xavier Miralles 6, Asturias, 32794",50350,Badajoz,797140494,nortuno@example.org,False,Cocinero,"1689,48",ES3537913003960908036840,corriente,"15693,43",2024-04-25,Femenino
42726,Celestina,Vilaplana,Viuda,39175604A,Marroquí,1977-01-19,"Camino de Chita Heredia 291 Piso 5 , Vizcaya, 23728",47351,Baleares,759019890,xbarreda@example.org,False,Operador de máquinas para fabricar productos fotográficos,"7950,89",ES1972588090782228923097,corriente,"17684,06",2025-04-03,Femenino
42727,Loida,Abril,Casada,70761909V,Húngara,1962-08-05,"Pasaje Palmira Herrera 2 Apt. 10 , Santa Cruz de Tenerife, 10589",04289,León,628514040,cayetanaespinosa@example.org,False,Oficinista general,"3962,66",ES8140562597802676438458,corriente,"44466,25",2022-09-06,Femenino
42728,Pío,Salas,Casado,15967576X,Barbadense,1998-10-08,"Pasadizo de Rosenda Castejón 62, Las Palmas, 20442",09300,Lleida,635355623,oherrero@example.org,False,Asesor de inversiones,"2365,73",ES4345992357084347068627,corriente,"28707,81",2024-12-11,Masculino
42729,Asdrubal,Meléndez,Casado,35073349M,Neozelandesa,1968-07-18,"Camino de Melisa Jordá 95, Castellón, 15360",42621,Girona,674094842,arturo62@example.org,False,Consignatario,"2145,9",ES5435042272017717052564,corriente,"16884,05",2018-09-04,Masculino
42730,América,Palma,Viuda,19576089F,Laosiana,2002-07-17,"Plaza Roldán Olivera 92, Burgos, 04281",46200,La Coruña,723190597,patriciasolano@example.com,False,Ingeniero en telecomunicaciones,"4363,64",ES3415759027235480411999,corriente,"99406,14",2020-01-03,Femenino
42731,Aroa,Verdú,Viuda,45500878R,Luxemburguesa,1976-06-05,"Ronda Marianela Perea 6 Piso 2 , Cádiz, 22178",43293,Huelva,633418117,salomariel@example.net,False,Cartógrafo,"5010,87",ES9642162200244759074930,corriente,"73779,04",2020-05-23,Femenino
42732,Sarita,Macias,Casada,62621634V,Croata,2003-12-30,"Calle Abel Carranza 83, Álava, 39173",41616,Palencia,771475455,fernandabarros@example.net,False,Analista de sistemas,"4013,42",ES6079927253618146852682,corriente,"68333,89",2020-02-20,Femenino
42733,Ambrosio,Flor,Soltero,99811408X,Kuwaití,1968-11-22,"Avenida Estefanía Godoy 18 Apt. 75 , Álava, 43144",34135,Salamanca,673932823,valleoctavia@example.net,False,Agente de seguros,"5558,67",ES9808518377963717770908,corriente,"62242,26",2022-01-19,Masculino
42734,Elena,Carballo,Divorciada,55109244W,Noruega,1980-09-22,"Avenida Nicolás Roura 32, Sevilla, 16896",34458,Ávila,632844460,bustosmaricela@example.org,False,Programador de aplicaciones,"2971,86",ES4389481222067485457278,corriente,"81715,85",2025-07-13,Femenino
42735,Román,Ropero,Viudo,55031268L,Brasileña,1971-03-20,"Cañada de Aroa Riba 15, Lugo, 33855",38371,Cádiz,792481634,ascensionmuro@example.net,False,Decorador de interior,"7457,78",ES3071833137086263401152,corriente,"10148,19",2018-02-08,Masculino
42736,Maura,Miguel,Divorciada,12001910G,Australiana,1964-08-14,"Via de Abilio Ortiz 32 Piso 0 , Lugo, 42426",17218,Cádiz,742395679,hsanchez@example.com,False,Operador de máquinas para fabricar productos de caucho,"4063,02",ES3943840381428841249899,corriente,"92841,79",2020-06-03,Femenino
42737,Miguel Ángel,Parra,Viudo,82950551Q,Vietnamita,1962-04-20,"Alameda de Crescencia Posada 17 Apt. 90 , Guadalajara, 33002",15703,Zamora,637714487,rufinacornejo@example.com,False,Pescador de alta mar,"2496,08",ES6521734904034328127934,corriente,"73688,07",2019-02-25,Masculino
42738,Cristóbal,Garcia,Soltero,67260044V,Iraquí,2004-02-22,"Calle de Tamara Nicolau 16 Piso 5 , Albacete, 36613",03227,Córdoba,718760964,telmomadrigal@example.net,False,Profesional de nivel medio de medicina tradicional y alternativa,"7756,16",ES9444826970837110494938,corriente,"78161,19",2022-08-09,Masculino
42739,Charo,Redondo,Viuda,93312634R,Chipriota,1976-01-19,"Vial de Ciriaco Rojas 81, Cádiz, 10444",08339,Soria,799707378,wvalentin@example.net,False,Técnico forestal,"2452,38",ES3499956544884347159709,corriente,"61604,77",2019-07-22,Femenino
42740,Celso,Giner,Casado,27687411B,Keniata,1974-03-24,"Alameda de Germán Lozano 30 Apt. 14 , Jaén, 25471",32917,Ávila,700423483,figueroadebora@example.com,False,Perforador y sondista de pozos,"3592,67",ES9787950242479140513463,corriente,"9530,32",2024-10-29,Masculino
42741,Cayetano,Guardia,Soltero,84794334G,Monegasca,2005-08-03,"Urbanización Isabela Roig 37 Piso 1 , Ourense, 48684",23286,Murcia,718942512,aurelio94@example.net,False,Profesional de nivel medio en actividades culturales y artísticas,"3407,67",ES2284114518704934953168,corriente,"76029,29",2022-12-17,Masculino
42742,América,Prado,Divorciada,75607231K,Griega,1966-05-26,"Callejón Joaquina Iniesta 87 Puerta 2 , La Rioja, 34536",34469,Baleares,777054101,loretoporcel@example.net,False,Botánico,"3430,1",ES8321325596176950711366,corriente,"8709,79",2022-11-02,Femenino
42743,Leandro,Solís,Soltero,20244827C,Bosnia,1954-04-19,"Calle Rosenda Barberá 49, Zamora, 03165",08866,Baleares,675001665,oliveracarmelita@example.org,False,Empleado de biblioteca,"5577,42",ES7101742297702998951318,corriente,"83855,26",2018-06-01,Masculino
42744,Alicia,Roig,Divorciada,78615558V,Singapurense,1981-05-14,"C. Florencio Balaguer 82, Cádiz, 18866",23093,Madrid,610043126,carlota38@example.net,False,Controlador de instalaciones de procesamiento de productos químicos,"2081,6",ES1649291290704199556595,corriente,"75842,15",2020-11-09,Femenino
42745,Francisco Javier,Garcia,Divorciado,79849013M,Jamaicana,1955-05-10,"Cañada Primitivo Coll 8 Apt. 42 , Melilla, 39854",37409,Ourense,723562597,vilareusebia@example.org,False,Mecánico y reparador en electrónica,"5676,44",ES2760712418658826931522,corriente,"15835,43",2020-07-06,Masculino
42746,Inocencio,Cid,Soltero,42701983E,Filipina,1995-01-23,"Via Francisca Cifuentes 92, Málaga, 11441",24028,Ávila,618631031,ruperto14@example.com,False,Empleado de servicios de transporte,"7996,97",ES1137456080617380990758,corriente,"4108,5",2021-07-28,Masculino
42747,Cristina,Bello,Casada,37027292Y,Argentina,2002-10-12,"C. de María Cristina Rojas 977 Puerta 0 , Navarra, 48345",29303,Cantabria,692697909,albertarnal@example.net,False,Educador para necesidades especiales,"1973,54",ES5323242334799478863218,corriente,"74672,03",2020-02-17,Femenino
42748,Manuel,Gordillo,Divorciado,98740473R,Malasia,1982-10-24,"Pasaje de Julio César Sarmiento 20, La Coruña, 21130",36206,Cádiz,644491913,regulogisbert@example.net,False,Platero,"1311,84",ES3228212137173750445527,corriente,"67596,48",2023-08-01,Masculino
42749,Antonio,Catalán,Soltero,29251013G,Búlgara,1966-11-06,"Paseo Máxima Oller 2 Puerta 6 , Alicante, 46647",39376,Cantabria,647652387,gregorio08@example.com,False,Inspector medioambiental y afines,"1519,97",ES7881914580782585581649,corriente,"70981,7",2021-07-30,Masculino
42750,Rodolfo,Sanz,Soltero,12576057W,Polaca,1979-03-04,"Urbanización de Benito Paniagua 312, Alicante, 39592",29456,Girona,657678075,fcorominas@example.org,False,Fumigador,"3064,37",ES8008134028365630435439,corriente,"97256,02",2022-07-14,Masculino
